Rk.,Year,Team,PA,Total Shifts,%,RHH-PA,RHH-Shifts,RHH-%,RHH-wOBA,LHH-PA,LHH-Shifts,LHH-%,LHH-wOBA
1,2018,Astros,5906,2203,37.3,3437,728,21.2,0.279,2469,1475,59.7,0.263
2,2018,Rays,5956,1791,30.1,3826,951,24.9,0.32,2130,840,39.4,0.273
3,2018,Twins,6143,1748,28.5,3447,760,22,0.343,2696,988,36.6,0.311
4,2018,Yankees,6129,1727,28.2,3697,447,12.1,0.394,2432,1280,52.6,0.291
5,2018,Royals,6255,1715,27.4,3636,677,18.6,0.349,2619,1038,39.6,0.343
6,2018,White Sox,6312,1702,27,3535,521,14.7,0.368,2777,1181,42.5,0.345
7,2018,Brewers,6074,1397,23,3445,623,18.1,0.338,2629,774,29.4,0.346
8,2018,Orioles,6309,1454,23,3426,488,14.2,0.378,2883,966,33.5,0.342
9,2018,Marlins,6127,1375,22.4,3448,570,16.5,0.353,2679,805,30,0.335
10,2018,Phillies,6056,1337,22.1,3251,342,10.5,0.3,2805,995,35.5,0.335
11,2018,Dodgers,5946,1271,21.4,3785,422,11.1,0.362,2161,849,39.3,0.298
12,2018,D-backs,6094,1278,21,3709,376,10.1,0.299,2385,902,37.8,0.307
13,2018,Rockies,6123,1118,18.3,3721,320,8.6,0.352,2402,798,33.2,0.337
14,2018,Athletics,6072,1015,16.7,3481,190,5.5,0.338,2591,825,31.8,0.302
15,2018,Tigers,6109,1023,16.7,3695,288,7.8,0.37,2414,735,30.4,0.321
16,2018,Mariners,6048,1002,16.6,3992,155,3.9,0.405,2056,847,41.2,0.324
17,2018,Red Sox,6156,979,15.9,4135,106,2.6,0.431,2021,873,43.2,0.292
18,2018,Pirates,6096,868,14.2,3281,250,7.6,0.35,2815,618,22,0.361
19,2018,Giants,6148,865,14.1,3934,323,8.2,0.334,2214,542,24.5,0.299
20,2018,Blue Jays,6242,854,13.7,3672,91,2.5,0.35,2570,763,29.7,0.303
21,2018,Mets,6066,834,13.7,3496,184,5.3,0.362,2570,650,25.3,0.308
22,2018,Nationals,6050,771,12.7,3428,153,4.5,0.349,2622,618,23.6,0.315
23,2018,Braves,6100,765,12.5,3529,276,7.8,0.361,2571,489,19,0.306
24,2018,Indians,5942,641,10.8,3148,36,1.1,0.267,2794,605,21.7,0.312
25,2018,Reds,6212,590,9.5,3352,56,1.7,0.345,2860,534,18.7,0.365
26,2018,Padres,6068,461,7.6,3751,19,0.5,0.308,2317,442,19.1,0.363
27,2018,Rangers,6206,352,5.7,4201,92,2.2,0.377,2005,260,13,0.306
28,2018,Cubs,6179,313,5.1,3989,94,2.4,0.346,2190,219,10,0.324
29,2018,Cardinals,6222,272,4.4,3093,59,1.9,0.371,3129,213,6.8,0.31
30,2018,Angels,6087,206,3.4,3583,0,0,,2504,206,8.2,0.34
